,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-9.25,-0.5135,0.10721,0.1022,-0.0076,1.0,0.0961
1,-9.0,-0.5237,0.10425,0.09932,-0.0131,1.0,0.0997
2,-8.75,-0.5419,0.10124,0.09645,-0.0214,1.0,0.1006
3,-8.5,-0.5137,0.09567,0.09081,-0.0139,1.0,0.1041
4,-8.25,-0.507,0.09235,0.08748,-0.014,1.0,0.1084
5,-8.0,-0.5151,0.08887,0.0841,-0.0185,1.0,0.113
6,-7.75,-0.53,0.0831,0.07837,-0.0323,1.0,0.1155
7,-7.5,-0.5067,0.08095,0.07625,-0.0211,1.0,0.1215
8,-7.25,-0.5148,0.07577,0.07098,-0.0341,1.0,0.1289
9,-7.0,-0.5012,0.07229,0.06763,-0.0282,1.0,0.1336
10,-6.5,-0.489,0.0643,0.05958,-0.0321,1.0,0.1481
11,-6.25,-0.4842,0.06007,0.05519,-0.0357,1.0,0.1599
12,-6.0,-0.4711,0.04447,0.0381,-0.0437,1.0,0.0866
13,-5.75,-0.4562,0.03954,0.03328,-0.043,1.0,0.0827
14,-5.5,-0.4397,0.03517,0.0284,-0.0425,1.0,0.082
15,-5.25,-0.4206,0.03115,0.02381,-0.0417,1.0,0.0812
16,-5.0,-0.3992,0.02798,0.02005,-0.0407,1.0,0.0827
17,-4.75,-0.3764,0.02567,0.01707,-0.0397,1.0,0.0876
18,-4.5,-0.3536,0.02356,0.01484,-0.039,1.0,0.0918
19,-4.25,-0.3298,0.02244,0.01333,-0.0381,1.0,0.0999
20,-4.0,-0.3054,0.0207,0.01149,-0.0375,1.0,0.1049
21,-3.75,-0.2809,0.01972,0.01034,-0.0367,1.0,0.1127
22,-3.5,-0.2563,0.0186,0.00922,-0.0362,1.0,0.1212
23,-3.25,-0.2308,0.01762,0.00814,-0.0355,1.0,0.1304
24,-3.0,-0.2059,0.01665,0.00727,-0.035,1.0,0.1461
25,-2.75,-0.1806,0.01568,0.00656,-0.0346,1.0,0.1806
26,-2.5,-0.1548,0.01448,0.00601,-0.0347,1.0,0.2896
27,-2.25,-0.1299,0.01317,0.00575,-0.0345,1.0,0.4985
28,-2.0,-0.1144,0.01207,0.0059,-0.0301,1.0,0.8381
29,-1.75,-0.079,0.01196,0.00565,-0.0315,1.0,1.0
30,-1.5,-0.0566,0.0121,0.00555,-0.031,1.0,1.0
31,-1.25,-0.0341,0.01227,0.0055,-0.0306,1.0,1.0
32,-1.0,-0.0117,0.01248,0.00554,-0.0302,1.0,1.0
33,-0.75,0.0106,0.01272,0.00565,-0.0299,1.0,1.0
34,-0.5,0.0327,0.01301,0.00581,-0.0296,1.0,1.0
35,-0.25,0.0545,0.01336,0.00605,-0.0294,1.0,1.0
36,0.0,0.0852,0.01375,0.00636,-0.031,0.9968,1.0
37,0.25,0.138,0.01415,0.00666,-0.0367,0.9865,1.0
38,0.5,0.1893,0.01445,0.00691,-0.042,0.9749,1.0
39,0.75,0.2379,0.01467,0.00711,-0.0465,0.9616,1.0
40,1.0,0.2865,0.0148,0.00725,-0.0509,0.9484,1.0
41,1.25,0.338,0.01483,0.00732,-0.0556,0.9363,1.0
42,1.5,0.385,0.01477,0.00732,-0.0593,0.9224,1.0
43,1.75,0.4285,0.01465,0.00727,-0.0619,0.9078,1.0
44,2.0,0.4643,0.01455,0.00724,-0.0629,0.8897,1.0
45,2.25,0.4993,0.0144,0.00717,-0.0635,0.8716,1.0
46,2.5,0.5328,0.01421,0.00706,-0.0636,0.8535,1.0
47,2.75,0.5618,0.0141,0.00701,-0.0629,0.8329,1.0
48,3.0,0.5895,0.01392,0.00687,-0.0615,0.8098,1.0
49,3.25,0.6142,0.01373,0.00669,-0.0594,0.7806,1.0
50,3.5,0.6373,0.0136,0.00652,-0.057,0.7463,1.0
51,3.75,0.6604,0.01358,0.00645,-0.0549,0.7102,1.0
52,4.0,0.6837,0.01366,0.00649,-0.053,0.6743,1.0
53,4.25,0.7066,0.01382,0.00658,-0.0512,0.6351,1.0
54,4.5,0.7298,0.01406,0.00679,-0.0498,0.5972,1.0
55,4.75,0.7518,0.01434,0.00699,-0.048,0.5503,1.0
56,5.0,0.7731,0.01471,0.00728,-0.0463,0.4959,1.0
57,5.25,0.7906,0.01535,0.00757,-0.0439,0.3945,1.0
58,5.5,0.7946,0.01819,0.00873,-0.0405,0.1565,1.0
59,5.75,0.8114,0.01993,0.01016,-0.0386,0.1195,1.0
60,6.0,0.8309,0.02131,0.01148,-0.037,0.107,1.0
61,6.25,0.8517,0.02287,0.01296,-0.0357,0.099,1.0
62,6.5,0.8747,0.02418,0.01426,-0.0348,0.09,1.0
63,6.75,0.8998,0.02612,0.01622,-0.034,0.0848,1.0
64,7.0,0.9243,0.02763,0.0179,-0.0332,0.078,1.0
65,7.25,0.9496,0.03045,0.0207,-0.0328,0.073,1.0
66,7.5,0.9728,0.03232,0.02303,-0.0315,0.0686,1.0
67,7.75,0.9949,0.0345,0.02544,-0.0305,0.064,1.0
68,8.0,1.0156,0.03789,0.02907,-0.0296,0.0618,1.0
69,8.25,1.0301,0.04185,0.03353,-0.0279,0.0599,1.0
70,8.5,1.0421,0.045,0.0373,-0.0256,0.0585,1.0
71,8.75,1.0512,0.04949,0.04226,-0.0236,0.059,1.0
72,9.0,1.0586,0.05506,0.04814,-0.0221,0.0602,1.0
73,9.25,1.0424,0.06092,0.05514,-0.018,0.068,1.0
74,9.5,0.9576,0.05509,0.04989,-0.0081,0.0687,1.0
75,9.75,0.9629,0.06137,0.05625,-0.0072,0.0749,1.0
76,10.0,0.913,0.06549,0.06074,-0.0036,0.0766,1.0
77,10.25,0.8763,0.07064,0.06605,-0.0034,0.0771,1.0
78,10.5,0.8398,0.07699,0.07251,-0.0056,0.0772,1.0
79,10.75,0.7732,0.09236,0.08795,-0.0156,0.0904,1.0
