,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-10.0,-0.4467,0.08553,0.08207,-0.0213,1.0,0.0708
1,-9.75,-0.4662,0.0782,0.07477,-0.0259,1.0,0.0728
2,-9.5,-0.6405,0.0726,0.06884,-0.0321,1.0,0.0661
3,-9.25,-0.6385,0.06965,0.06588,-0.0315,1.0,0.067
4,-9.0,-0.6405,0.06639,0.06257,-0.0311,1.0,0.0682
5,-8.75,-0.6444,0.06295,0.05902,-0.0305,1.0,0.0697
6,-8.5,-0.6509,0.0595,0.05536,-0.0294,1.0,0.0724
7,-8.25,-0.6805,0.0571,0.05215,-0.0251,1.0,0.0759
8,-8.0,-0.6624,0.05203,0.04733,-0.0254,1.0,0.0775
9,-7.75,-0.648,0.04964,0.04502,-0.0243,1.0,0.0795
10,-7.5,-0.6392,0.04753,0.0428,-0.0223,1.0,0.0827
11,-7.25,-0.6455,0.04565,0.0403,-0.018,1.0,0.0895
12,-7.0,-0.6311,0.04231,0.03707,-0.0169,1.0,0.0913
13,-6.75,-0.6296,0.03261,0.02581,-0.0098,1.0,0.0541
14,-6.5,-0.6152,0.03053,0.02346,-0.0075,1.0,0.0543
15,-6.25,-0.5992,0.02848,0.02116,-0.0053,1.0,0.0543
16,-6.0,-0.5816,0.02651,0.01896,-0.0034,1.0,0.0542
17,-5.75,-0.563,0.02498,0.0172,-0.0016,1.0,0.0545
18,-5.5,-0.5437,0.02331,0.01535,0.0,1.0,0.0553
19,-5.25,-0.5237,0.02192,0.01398,0.0011,1.0,0.057
20,-5.0,-0.5034,0.0211,0.01314,0.0024,1.0,0.0587
21,-4.75,-0.4825,0.02021,0.01219,0.0037,1.0,0.0602
22,-4.5,-0.4615,0.01943,0.01133,0.005,1.0,0.0618
23,-4.25,-0.4408,0.01895,0.01073,0.0063,1.0,0.0639
24,-4.0,-0.4001,0.01768,0.00957,0.0034,0.9958,0.0681
25,-3.75,-0.357,0.01694,0.00885,0.0004,0.9903,0.0727
26,-3.5,-0.3142,0.016,0.00797,-0.0028,0.9846,0.079
27,-3.25,-0.2723,0.01542,0.00742,-0.0056,0.9769,0.0871
28,-3.0,-0.2276,0.01455,0.00665,-0.0092,0.9711,0.0993
29,-2.75,-0.1878,0.01381,0.00598,-0.0116,0.9611,0.1171
30,-2.5,-0.1542,0.01155,0.00514,-0.0138,0.952,0.4045
31,-2.25,-0.125,0.01023,0.00504,-0.0132,0.9415,0.6812
32,-2.0,-0.0956,0.0099,0.005,-0.0123,0.9272,0.7632
33,-1.75,-0.0664,0.00976,0.00498,-0.0112,0.9124,0.8139
34,-1.5,-0.0379,0.00972,0.00497,-0.01,0.8965,0.853
35,-1.25,-0.0085,0.00975,0.00499,-0.0089,0.8791,0.8822
36,-1.0,0.0202,0.00983,0.005,-0.0077,0.86,0.9082
37,-0.75,0.0552,0.01001,0.00508,-0.0078,0.8391,0.9277
