Throttle (%),Thrust (kgf),Electrical power (W)
0,0,0
5,0.281895649,2.35
10,0.299699639,5.405
15,0.332392251,11.0309
20,0.394788258,21.8271
25,0.488691034,38.2235
30,0.630939019,63.414
34.25,0.724535789,80.23
35,0.816112885,96.876
40,1.050510878,140.4
41.13,1.037032357,137.86
42.63,1.10870057,151.42
45,1.340462147,196.224
48,1.36542052,201.14
50,1.650381145,258.63
55,1.967093678,325.78
60,2.381842149,419.92
65,2.76278694,514.152
70,3.170559801,626.01
75,3.567574963,750.465
80,3.915820253,879.36
85,4.254559736,1036.936
90,4.508980413,1203.84
95,4.64789281,1356.862
100,4.695966444,1497.444
